noun Canius voc_sg {{la-decl-2nd|num=sg|Cāni}}
noun Cantilius voc_sg {{la-decl-2nd|num=sg|Cantili}}
noun Canuleius voc_sg {{la-decl-2nd|num=sg|Canulēi}}
noun Carisius voc_sg {{la-decl-2nd|num=sg|Carisi}}
noun Caristanius voc_sg {{la-decl-2nd|num=sg|Caristāni}}
noun Carpinatius voc_sg {{la-decl-2nd|num=sg|Carpināti}}
noun Carteius voc_sg {{la-decl-2nd|num=sg|Cartei}}
noun Carvetii voc_sg {{la-decl-2nd|num=pl|Carveti}}
noun Carvilius voc_sg {{la-decl-2nd|num=sg|Carvili}}
noun Casatius voc_sg {{la-decl-2nd|num=sg|Casāti}}
noun Cascellius voc_sg {{la-decl-2nd|num=sg|Cascelli}}
noun Casius voc_sg {{la-decl-2nd|num=sg|Casi}}
noun Casperius voc_sg {{la-decl-2nd|num=sg|Casperi}}
noun Cassius voc_sg {{la-decl-2nd|num=sg|Cassi}}
noun Castricius voc_sg {{la-decl-2nd|num=sg|Castrici}}
noun Catilius voc_sg {{la-decl-2nd|num=sg|Catili}}
noun Catonius voc_sg {{la-decl-2nd|num=sg|Catōni}}
noun Cavii voc_sg {{la-decl-2nd|num=pl|Cavi}}
noun Ceionius voc_sg {{la-decl-2nd|num=sg|Ceiōni}}
noun Centenius voc_sg {{la-decl-2nd|num=sg|Centēni}}
noun Cercetius voc_sg {{la-decl-2nd|num=sg|Cerceti}}
noun Cervarius voc_sg {{la-decl-2nd|num=sg|Cervāri}}
noun Cestius voc_sg {{la-decl-2nd|num=sg|Cesti}}
noun Cetius voc_sg {{la-decl-2nd|num=sg|Cēti}}
noun Chadisius voc_sg {{la-decl-2nd|num=sg|Chadisi}}
noun Chesius voc_sg {{la-decl-2nd|num=sg|Chēsi}}
noun Chorasmii voc_sg {{la-decl-2nd|num=pl|Chorasmi}}
noun Cicereius voc_sg {{la-decl-2nd|num=sg|Cicerēi}}
noun Cilnius voc_sg {{la-decl-2nd|num=sg|Cilni}}
noun Cincius voc_sg {{la-decl-2nd|num=sg|Cinci}}
